mp1_tc,rr_3,ffr,ygap,infl,lpcom
0.0,0.2766463,9.43,-0.593961247,2.932206166501672,5.594608996
0.0,0.1515853,9.69,0.393335822,4.234319227012584,5.638464069
0.0,0.1376575,10.55,1.131702395,3.351132246373112,5.664885342
0.0,0.2864533,11.39,1.097431037,3.229952122481805,5.616554946
0.0,-0.7383595,9.26,0.908472508,2.6766005548097382,5.584468287
0.0,0.0938688,8.48,0.859282492,4.574396280317927,5.538925465
0.0,-0.1474005,7.92,0.720176476,2.4675163267041,5.523270734
0.0,0.2540045,7.9,1.222460046,2.313054025418637,5.460485808
0.0,0.0780944,8.1,0.956172945,2.3066832491650757,5.447466616
0.0,-0.092363,7.83,0.888276403,1.9488972363756574,5.420141405
0.0,0.2789763,6.92,0.353034318,1.5962591708305496,5.372526349
0.0,-0.3884781,6.21,0.335496758,1.610432280095253,5.368260878
0.0,-0.0200735,6.27,-0.082369127,2.2233646331745405,5.420065651
0.0,0.4283997,6.22,-0.275240254,2.8936281984357493,5.427738889
0.0,0.2585374,6.65,-0.117414949,2.671678968358293,5.495241123
0.0,-0.1605985,6.84,-0.146919954,2.8937448166306723,5.537703973
0.0,-0.1958912,6.92,0.686108707,3.2958565736503687,5.54108506
0.0,-0.0883626,6.67,0.357980111,3.131337428753511,5.558222413
0.0,0.5805244,7.15,0.84755992,3.8475630053753207,5.599872035
0.0,-0.2102174,7.98,0.645187456,4.6842267036076635,5.630390987
0.04013115,0.4447969,8.47,1.212348231,3.194445893817388,5.620803103
0.0460412,0.3247353,9.45,1.49785155,4.37314990415274,5.654528669
-0.0319275,0.1436368,9.73,1.562580089,4.114096553824709,5.645186655
-0.0126378,-0.0522432,9.08,1.634230514,2.886440880474339,5.624541882
-0.120678067,0.0367206,8.61,1.19156978,2.773637012866814,5.592468819
-0.039211933,0.2577399,8.25,1.662725359,4.3921243341813465,5.571266255
0.0,0.0448875,8.24,1.429152715,4.103963894358387,5.619074663
-0.045923333,0.07195,8.16,0.914749714,3.5560046820066304,5.612947789
-0.056674833,-0.1521085,7.74,-0.57163875,3.016283144325982,5.572665777
-0.122218567,0.0402715,6.43,-1.609783936,3.9671303269788183,5.545991742
-0.061159967,0.2334903,5.86,-1.405727079,2.7316609884966425,5.52725597
-0.0312547,0.0716177,5.65,-1.482839434,2.926849394867048,5.495376229
-0.094050467,0.0067029,4.82,-1.728767829,2.1538867984485677,5.490116102
-0.061924833,-0.0160252,4.02,-1.148589048,1.7136538012856306,5.47452949
-0.067979967,0.1536554,3.77,-0.697959792,2.5425867695059168,5.503882779
-0.019896667,-0.0479476,3.26,-0.362009452,1.8992176618461087,5.505134811
-0.0129153,-0.2830335,3.03,0.007674218,2.694410007596204,5.47696786
0.009161933,0.0629891,3.04,-0.514548756,2.268802430092265,5.474355237
-0.00861,0.324682,3.0,-0.645510724,2.4226128200741215,5.460231765
0.008986633,0.2725431,3.06,-0.903713822,2.4025093676730336,5.462333087
0.007693367,-0.1834657,2.99,-0.30991752,2.08081499739734,5.487001582
0.054442267,0.5886676,3.21,-0.123809517,1.9334690080157202,5.525048046
0.086907733,0.3189584,3.94,0.42110493,1.9894166109942546,5.54306912
0.0207967,0.5814388,4.49,0.182042757,2.158064066187748,5.575586769
-0.015091667,0.3894201,5.17,0.478831729,2.1948890557400347,5.618419154
-0.025748467,0.7535121,5.8,-0.029231263,2.2898727897935345,5.658137445
-0.002899897,0.2281154,6.02,-0.613411575,1.7554301692531027,5.66943341
-0.0240561,0.0352156,5.8,-0.668194695,1.896153489986574,5.678942848
0.009028167,-0.013886,5.72,-0.912633849,1.9663072301696616,5.681468561
-0.026856867,0.1398095,5.37,-1.106044426,2.1612720443624056,5.656419072
0.002684827,0.0037818,5.24,-0.408449718,1.5179886572024515,5.717111851
-0.04272,-0.0270068,5.31,-0.486721856,1.1269082711166334,5.740109577
-0.034764467,0.0862866,5.28,-0.437308134,2.0266890173392227,5.668565396
-0.007258067,0.1277924,5.28,-0.787060304,2.4752202486158836,5.688050999
-0.022560767,0.103655,5.52,-0.138592812,1.080358718282426,5.679849896
-0.007129973,-0.1427021,5.53,0.101478034,1.4257156485612654,5.680953383
-0.013886667,-0.0718923,5.51,-0.045961925,1.3288199788593857,5.668355171
-0.000107533,-0.0518049,5.52,-0.05009379,0.6525702769081931,5.58849534
-0.011839133,-0.0645189,5.5,-0.119717137,0.8345528121157741,5.609616203
0.0033678,-0.04442,5.53,0.144948783,1.4917438706596897,5.563789153
-0.0882511,-0.3070178,4.86,0.782485652,1.2489817933580838,5.493445025
0.0016516,-0.2594593,4.73,0.777329143,1.9943132994978185,5.446780177
-0.007428233,0.1483469,4.75,0.617682727,1.3390602732055612,5.430725636
0.001999933,0.2560746,5.1,1.01687868,1.4443606350340588,5.441786113
0.012927833,-0.1577558,5.3,1.826304471,1.8267031068763373,5.437500616
-0.0218545,0.0232468,5.68,1.339181299,3.0474453258378276,5.417268783
0.002943267,0.3643079,6.27,2.333615702,2.260642681268621,5.439977948
-0.0132366,-0.0592025,6.52,1.674559593,2.584041958670369,5.389797066
0.005697333,0.1229384,6.47,1.528760378,2.141496510840568,5.412280934
-0.097755733,-0.4464054,5.6,0.499258634,2.505665838053872,5.418251185
-0.1590616,-0.5562474,4.33,0.357155309,2.8151736898102797,5.435785046
0.035496633,-0.1289616,3.5,-0.768936961,1.3073154439574353,5.4491385
-0.0642233,-0.3825281,2.13,-1.19677561,1.208086530682806,5.357905327
0.003887967,-0.5211734,1.73,-1.019487534,1.2801983379787885,5.372427365
-0.0028513,0.2081397,1.75,-1.105778648,1.4884045784000932,5.395066096
0.015908867,0.1041661,1.74,-1.351711358,1.7788055337781827,5.455371243
-0.061555533,-0.2800267,1.44,-1.887708582,2.15873762818255,5.478685157
0.006920633,0.0202895,1.25,-2.027370821,2.4582513499336045,5.518453611
0.025755967,-0.2291566,1.25,-1.86571613,1.2790075426853065,5.522007891
